Student_ID,Classes_ID,Date,Code,ID
17764,5058939,26-Aug-24,P,161522718
17764,5067137,26-Aug-24,P,161574811
17764,5058943,26-Aug-24,P,161577947
17764,5058942,26-Aug-24,P,161607278
17764,5067136,26-Aug-24,P,161632155
17764,5067138,26-Aug-24,P,161661692
17764,5058939,27-Aug-24,P,161704725
17764,5067137,27-Aug-24,P,161742341
17764,5058943,27-Aug-24,P,161780781
17764,5058942,27-Aug-24,P,161809286
17764,5067136,27-Aug-24,P,161833607
17764,5067138,27-Aug-24,P,161862822
17764,5058939,28-Aug-24,P,161898420
17764,5067137,28-Aug-24,P,161937571
17764,5058943,28-Aug-24,P,161973405
17764,5058942,28-Aug-24,P,161997815
17764,5067136,28-Aug-24,P,162019627
17764,5067138,28-Aug-24,P,162049394
17764,5058939,29-Aug-24,P,162080607
17764,5067137,29-Aug-24,P,162120962
17764,5058943,29-Aug-24,P,162148722
17764,5058942,29-Aug-24,P,162189190
17764,5067136,29-Aug-24,P,162218803
17764,5067138,29-Aug-24,P,162248682
17764,5058939,3-Sep-24,P,162294377
17764,5067137,3-Sep-24,P,162335928
17764,5058943,3-Sep-24,P,162356787
17764,5058942,3-Sep-24,P,162400167
17764,5067136,3-Sep-24,P,162431502
17764,5067138,3-Sep-24,P,162462168
17764,5058939,4-Sep-24,P,162490316
17764,5067137,4-Sep-24,P,162543923
17764,5058943,4-Sep-24,P,162564681
17764,5058942,4-Sep-24,P,162610729
17764,5067136,4-Sep-24,P,162631669
17764,5067138,4-Sep-24,P,162669507
17764,5058939,5-Sep-24,P,162713313
17764,5067137,5-Sep-24,P,162750441
17764,5058943,5-Sep-24,P,162773604
17764,5058942,5-Sep-24,P,162813791
17764,5067136,5-Sep-24,P,162854624
17764,5067138,5-Sep-24,P,162874595
17764,5058939,6-Sep-24,P,162916741
17764,5067137,6-Sep-24,P,162960070
17764,5058943,6-Sep-24,P,162984103
17764,5058942,6-Sep-24,P,163036860
17764,5067136,6-Sep-24,P,163064531
17764,5067138,6-Sep-24,P,163077874
17764,5058939,9-Sep-24,A,163121470
17764,5067137,9-Sep-24,A,163164748
17764,5058943,9-Sep-24,A,163195502
17764,5058942,9-Sep-24,A,163239851
17764,5067136,9-Sep-24,A,163267512
17764,5067138,9-Sep-24,A,163293745
17764,5058939,10-Sep-24,P,163335054
17764,5067137,10-Sep-24,P,163388974
17764,5058943,10-Sep-24,P,163422676
17764,5058942,10-Sep-24,P,163454183
17764,5067136,10-Sep-24,P,163481593
17764,5067138,10-Sep-24,P,163515887
17764,5058939,11-Sep-24,P,163551646
17764,5067137,11-Sep-24,P,163599440
17764,5058943,11-Sep-24,P,163627144
17764,5058942,11-Sep-24,P,163661179
17764,5067136,11-Sep-24,P,163684199
17764,5067138,11-Sep-24,P,163717633
17764,5058939,12-Sep-24,P,163760802
17764,5067137,12-Sep-24,P,163770102
17764,5058943,12-Sep-24,P,163802596
17764,5058942,12-Sep-24,P,163850782
17764,5067136,12-Sep-24,P,163879639
17764,5067138,12-Sep-24,P,163912618
17764,5058939,13-Sep-24,P,163953867
17764,5067137,13-Sep-24,P,163994617
17764,5058943,13-Sep-24,P,164021241
17764,5058942,13-Sep-24,P,164055877
17764,5067136,13-Sep-24,P,164083182
17764,5067138,13-Sep-24,P,164112285
17764,5058939,16-Sep-24,A,164165044
17764,5067137,16-Sep-24,A,164204852
17764,5058943,16-Sep-24,A,164223687
17764,5058942,16-Sep-24,A,164265076
17764,5067136,16-Sep-24,A,164290582
17764,5067138,16-Sep-24,A,164317341
17764,5058939,17-Sep-24,P,164355823
17764,5058943,17-Sep-24,P,164441402
17764,5058942,17-Sep-24,P,164469735
17764,5067137,17-Sep-24,P,164487330
17764,5067136,17-Sep-24,P,164496414
17764,5067138,17-Sep-24,P,164522914
17764,5058939,18-Sep-24,P,164572978
17764,5067137,18-Sep-24,P,164617915
17764,5058943,18-Sep-24,P,164653411
17764,5058942,18-Sep-24,P,164678589
17764,5067136,18-Sep-24,P,164703889
17764,5067138,18-Sep-24,P,164733617
17764,5058939,19-Sep-24,P,164769237
17764,5067137,19-Sep-24,A,164822348
17764,5058943,19-Sep-24,P,164843277
17764,5058942,19-Sep-24,P,164883770
17764,5067136,19-Sep-24,P,164908606
17764,5067138,19-Sep-24,P,164934941
17764,5058939,20-Sep-24,P,164981901
17764,5067137,20-Sep-24,A,165025960
17764,5058943,20-Sep-24,P,165053751
17764,5058942,20-Sep-24,P,165083317
17764,5067136,20-Sep-24,P,165107109
